suburb,state,postcode,num_streets,RenewalsOrAcq,collection_amount,donation_amount,total_received,dob,age,gender,weekends,profitable
TIWI,NT,810,2,Acq,55,0,55,18/03/1974,41,1,4,0
COCONUT GROVE,NT,810,2,Renewals,55,0,55,23/04/1959,56,1,4,0
NIGHTCLIFF,NT,810,1,Acq,51.55,0,51.55,na,,1,4,0
NIGHTCLIFF,NT,810,2,Acq,51.15,0,51.15,19/04/1932,83,1,4,0
TIWI,NT,810,2,Renewals,25,25,50,na,,1,4,0
Rapid Creek,NT,810,2,Acq,46,0,46,1/01/1936,79,1,4,0
NIGHTCLIFF,NT,810,2,Renewals,30,14,44,na,,1,4,0
Millner,NT,810,1,Acq,37,0,37,na,,1,4,0
Coconut Grove,NT,810,2,Acq,32,5,37,na,,1,4,0
WAGAMAN,NT,810,2,Renewals,0,25,25,4/03/1947,68,1,4,0
COCONUT GROVE,NT,810,2,Renewals,20,0,20,21/03/1951,64,0,4,0
CASUARINA,NT,811,2,Renewals,188,0,188,na,,0,4,1
CASUARINA,NT,811,2,Acq,135,0,135,na,,1,4,1
WULAGI,NT,812,2,Renewals,205,0,205,21/09/1967,48,0,4,1
LEANYER,NT,812,2,Acq,150,50,200,27/03/1943,72,0,4,1
LEANYER,NT,812,2,Acq,0,150,150,na,,0,4,1
ANULA,NT,812,4,Renewals,137.3,0,137.3,6/04/1935,80,0,4,1
MALAK,NT,812,3,Acq,137,0,137,1/01/1949,66,0,4,1
KARAMA,NT,812,2,Acq,116.7,0,116.7,na,,0,4,1
ANULA,NT,812,4,Renewals,108.45,0,108.45,13/07/1944,71,1,4,1
MALAK,NT,812,1,Acq,108,0,108,13/06/1961,54,0,4,1
LEANYER,NT,812,2,Acq,100,0,100,na,,1,4,1
KARAMA,NT,812,2,Acq,97,0,97,na,,1,4,1
LEANYER,NT,812,2,Acq,86.5,0,86.5,17/08/1955,60,1,4,1
LEANYER,NT,812,3,Acq,83,0,83,na,,1,4,1
KARAMA,NT,812,2,Renewals,81.6,0,81.6,16/04/1940,75,1,4,1
ANULA,NT,812,2,Acq,63.2,0,63.2,na,,1,4,0
Malak,NT,812,2,Acq,55,0,55,na,,0,4,0
LEANYER,NT,812,2,Acq,52,0,52,na,,0,4,0
MALAK,NT,812,2,Acq,50,0,50,1/01/1969,46,0,4,0
ANULA,NT,812,2,Renewals,50,0,50,na,,0,4,0
KARAMA,NT,812,2,Acq,37,0,37,na,,1,4,0
WULAGI,NT,812,4,Acq,35,0,35,31/07/1942,73,1,4,0
KARAMA,NT,812,2,Acq,6.35,0,6.35,1/01/1954,61,1,4,0
SANDERSON,NT,813,2,Acq,155.7,0,155.7,na,,1,4,1
NIGHTCLIFF,NT,814,2,Acq,146.15,0,146.15,na,,1,4,1
NIGHTCLIFF,NT,814,2,Acq,80,0,80,na,,1,4,1
LARRAKEYAH,NT,820,2,Renewals,414,0,414,na,,1,4,1
WOOLNER,NT,820,2,Acq,319,0,319,1/01/1974,41,1,4,1
LARRAKEYAH,NT,820,2,Acq,225,0,225,na,,1,4,1
LARRAKEYAH,NT,820,4,Acq,194,0,194,17/05/1958,57,1,4,1
The Narrows,NT,820,4,Acq,191.9,0,191.9,1/01/1943,72,1,4,1
LUDMILLA,NT,820,2,Acq,160,0,160,12/12/1938,77,0,4,1
FANNIE BAY,NT,820,2,Acq,150.55,0,150.55,na,,1,4,1
WINNELLIE,NT,820,4,Acq,150,0,150,21/07/1947,68,1,4,1
FANNIE BAY,NT,820,2,Renewals,0,100,100,7/02/1939,76,0,4,1
FANNIE BAY,NT,820,2,Renewals,100,0,100,15/02/1934,81,0,4,1
FANNIE BAY,NT,820,3,Acq,90,0,90,na,,0,4,1
STUART PARK,NT,820,2,Acq,75,0,75,1/01/1957,58,0,4,0
FANNIE BAY,NT,820,4,Acq,70,0,70,na,,1,4,0
PARAP,NT,820,2,Acq,70,0,70,19/07/1937,78,1,4,0
FANNIE BAY,NT,820,2,Acq,61.2,0,61.2,na,,1,4,0
Ludmilla,NT,820,4,Acq,50,0,50,na,,1,4,0
WOOLNER,NT,820,2,Acq,40,0,40,na,,0,4,0
GUNN POINT,NT,822,1,Renewals,52.9,0,52.9,na,,1,4,0
BERRIMAH,NT,828,2,Acq,162,0,162,na,,1,4,1
BERRIMAH,NT,828,2,Acq,105,0,105,na,,1,4,1
Woodroffe,NT,830,2,Acq,150,100,250,na,,0,4,1
GRAY,NT,830,2,Renewals,245,0,245,na,,1,4,1
GRAY,NT,830,2,Renewals,186.15,0,186.15,22/02/1967,48,0,4,1
PALMERSTON,NT,830,2,Renewals,0,150,150,na,,1,4,1
DURACK,NT,830,3,Renewals,0,150,150,8/04/1943,72,0,4,1
DRIVER,NT,830,2,Acq,103.5,0,103.5,14/03/1966,49,1,4,1
MOULDEN,NT,830,2,Acq,101.85,0,101.85,na,,0,4,1
FARRAR,NT,830,2,Acq,100,0,100,23/03/1955,60,1,4,1
Farrah,NT,830,2,Renewals,83.3,0,83.3,7/12/1954,61,1,4,1
DURACK,NT,830,2,Acq,80,0,80,na,,0,4,1
DRIVER,NT,830,2,Renewals,79.2,0,79.2,4/11/1945,70,1,4,1
DURACK,NT,830,2,Acq,62.3,0,62.3,na,,1,4,0
DRIVER,NT,830,3,Acq,57,0,57,na,,0,4,0
WOODROFFE,NT,830,2,Acq,56.05,0,56.05,1/01/1976,39,1,4,0
FARRAR,NT,830,2,Renewals,50,0,50,9/05/1980,35,1,4,0
WOODROFFE,NT,830,2,Renewals,50,0,50,na,,1,4,0
DRIVER,NT,830,3,Acq,30,0,30,1/01/1952,63,0,4,0
DURACK,NT,830,2,Renewals,30,0,30,15/10/1995,20,0,4,0
PALMERSTON,NT,831,1,Renewals,10,0,10,na,,1,4,0
ROSEBERY,NT,832,1,Renewals,685.05,0,685.05,30/09/1927,88,0,4,1
BAKEWELL,NT,832,2,Acq,350,0,350,na,,0,4,1
Rosebery,NT,832,2,Acq,200.8,0,200.8,na,,1,4,1
GUNN,NT,832,2,Acq,176,0,176,17/06/1981,34,1,4,1
BAKEWELL,NT,832,3,Renewals,123,27,150,2/01/1962,53,1,4,1
ROSEBERY HEIGHTS,NT,832,2,Renewals,96.5,0,96.5,na,,1,4,1
Gunn,NT,832,2,Acq,50,0,50,na,,1,4,0
GUNN,NT,832,2,Acq,0,30,30,1/01/1938,77,1,4,0
ROSEBERY HEIGHTS,NT,832,1,Renewals,25,0,25,24/03/1960,55,0,4,0
HOWARD SPRINGS,NT,835,3,Acq,139.75,0,139.75,na,,1,4,1
HOWARD SPRINGS,NT,835,2,Acq,30,0,30,8/01/1960,55,1,4,0
HOWARD SPRINGS,NT,835,2,Acq,20,0,20,na,,0,4,0
HUMPTY DOO,NT,836,3,Acq,230.3,0,230.3,13/06/1969,46,1,4,1
HUMPTY DOO,NT,836,2,Acq,112,20,132,5/02/1961,54,1,4,1
HUMPTY DOO,NT,836,2,Acq,80,0,80,3/04/1948,67,0,4,1
HUMPTY DOO,NT,836,2,Acq,45,0,45,na,,1,4,0
BERRY SPRINGS,NT,838,3,Acq,238,0,238,na,,1,4,1
Coolalinga,NT,839,2,Renewals,238,0,238,11/04/1944,71,1,4,1
DARWIN RIVER,NT,841,2,Acq,0,50,50,1/01/1944,71,0,4,0
Batchelor,NT,845,2,Acq,140,0,140,18/10/1949,66,1,4,1
BATCHELOR,NT,845,2,Acq,71.05,0,71.05,na,,1,4,0
KATHERINE EAST,NT,850,2,Acq,240,0,240,na,,1,4,1
KATHERINE SOUTH,NT,850,2,Acq,65.65,0,65.65,24/09/1986,29,1,4,0
KATHERINE,NT,851,2,Renewals,178.7,20,198.7,21/11/1942,73,0,4,1
KATHERINE,NT,851,2,Acq,40,0,40,na,,1,4,0
TENNANT CREEK,NT,860,3,Renewals,203.3,0,203.3,23/09/1947,68,0,4,1
ALICE SPRINGS,NT,870,2,Renewals,281.55,0,281.55,na,,1,4,1
ALICE SPRINGS,NT,870,3,Renewals,203.85,0,203.85,27/03/1963,52,1,4,1
ALICE SPRINGS,NT,870,2,Acq,200,0,200,1/01/1958,57,1,4,1
ALICE SPRINGS,NT,870,2,Renewals,192,0,192,na,,1,4,1
DESERT SPRINGS,NT,870,2,Renewals,192,0,192,7/04/1947,68,1,4,1
ALICE SPRINGS,NT,870,2,Renewals,186.3,0,186.3,16/04/1951,64,0,4,1
EAST SIDE,NT,870,2,Acq,180,0,180,2/06/1963,52,1,4,1
ALICE SPRINGS,NT,870,2,Renewals,167.8,0,167.8,2/12/1972,43,1,4,1
Alice Springs,NT,870,2,Acq,160.6,0,160.6,6/09/1948,67,0,4,1
LARAPINTA,NT,870,2,Renewals,133.65,0,133.65,na,,1,4,1
Alice Springs,NT,870,2,Renewals,124.5,0,124.5,11/02/1942,73,0,4,1
BRAITLING,NT,870,3,Acq,120,0,120,1/01/1958,57,1,4,1
LARAPINTA,NT,870,2,Renewals,69.65,50,119.65,na,,0,4,1
GILLEN,NT,870,2,Acq,118,0,118,1/01/1955,60,0,4,1
ALICE SPRINGS,NT,870,2,Renewals,111.7,0,111.7,na,,1,4,1
ALICE SPRINGS,NT,870,2,Acq,110,0,110,na,,1,4,1
LARAPINTA,NT,870,2,Acq,104,0,104,1/01/1963,52,1,4,1
EAST SIDE,NT,870,2,Acq,104,0,104,na,,0,4,1
LARAPINTA,NT,870,2,Acq,0,100,100,22/06/1930,85,1,4,1
EAST SIDE,NT,870,2,Acq,0,100,100,4/05/1956,59,0,4,1
GILLEN,NT,870,2,Acq,98,0,98,23/09/1959,56,0,4,1
LARAPINTA,NT,870,2,Renewals,93.35,0,93.35,na,,0,4,1
Gillen,NT,870,1,Acq,91.65,0,91.65,na,,1,4,1
ALICE SPRINGS,NT,870,2,Renewals,67.4,20,87.4,na,,0,4,1
BRAITLING,NT,870,2,Acq,87,0,87,4/09/1954,61,1,4,1
ALICE SPRINGS,NT,870,2,Renewals,70,0,70,22/10/1962,53,1,4,0
Alice Springs,NT,870,2,Acq,61,0,61,1/01/1945,70,0,4,0
ALICE SPRINGS,NT,870,2,Acq,55,0,55,1/01/1951,64,0,4,0
ALICE SPRINGS,NT,870,2,Acq,50,0,50,1/01/1945,70,1,4,0
Gillen,NT,870,2,Acq,0,50,50,na,,1,4,0
ALICE SPRINGS,NT,870,2,Renewals,50,0,50,na,,1,4,0
ALICE SPRINGS,NT,870,2,Renewals,50,0,50,na,,0,4,0
Gillen,NT,870,2,Acq,47,0,47,1/01/1956,59,1,4,0
DESERT SPRINGS,NT,870,2,Acq,45,0,45,1/01/1969,46,1,4,0
EAST SIDE,NT,870,2,Acq,41,0,41,1/01/1958,57,1,4,0
ALICE SPRINGS,NT,870,2,Acq,25,0,25,na,,1,4,0
LARAPINTA,NT,870,2,Acq,0,20,20,22/12/1948,67,1,4,0
ALICE SPRINGS,NT,870,3,Acq,20,0,20,na,,1,4,0
ALICE SPRINGS,NT,871,4,Acq,245,0,245,17/04/1950,65,1,4,1
ALICE SPRINGS,NT,871,4,Acq,125,0,125,na,,1,4,1
ALICE SPRINGS,NT,871,2,Acq,119,0,119,9/07/1959,56,1,4,1
ALICE SPRINGS,NT,871,2,Acq,109.15,0,109.15,1/01/1968,47,1,4,1
ALICE SPRINGS,NT,871,2,Renewals,107.8,0,107.8,na,,0,4,1
ALICE SPRINGS,NT,871,2,Renewals,50,0,50,na,,1,4,0
ALICE SPRINGS,NT,871,2,Acq,47,0,47,na,,0,4,0
ALICE SPRINGS,NT,871,2,Renewals,30,0,30,na,,1,4,0
NHULUNBUY,NT,880,2,Acq,0,100,100,1/08/1956,59,1,4,1
NHULUNBUY,NT,880,2,Acq,75,0,75,na,,1,4,0
NHULUNBUY,NT,880,2,Acq,50,0,50,24/12/1977,38,1,4,0
NHULUNBUY,NT,881,3,Renewals,337.75,2.25,340,4/03/1936,79,1,4,1
NHULUNBUY,NT,881,12,Renewals,309.4,10.6,320,4/03/1936,79,1,4,1
NHULUNBUY,NT,881,4,Renewals,310.9,9.1,320,4/03/1936,79,1,4,1
NHULUNBUY,NT,881,5,Renewals,194,6,200,4/03/1936,79,1,4,1
NHULUNBUY,NT,881,2,Acq,115,0,115,1/01/1947,68,1,4,1
NHULUNBUY,NT,881,2,Renewals,100,0,100,na,,0,4,1
WOOLLAHRA,NSW,1350,3,Renewals,90,60,150,na,,1,4,1
Double Bay,NSW,1360,2,Acq,330,0,330,na,,1,4,1
MASCOT,NSW,1460,1,Renewals,150,0,150,11/12/1945,70,0,4,1
SUTHERLAND,NSW,1499,1,Renewals,42,0,42,26/07/1969,46,1,4,0
MILSONS POINT,NSW,1565,1,Acq,504,0,504,12/02/1955,60,1,4,1
MILSONS POINT,NSW,1565,9,Acq,10,100,110,9/09/1954,61,1,4,1
ARTARMON,NSW,1570,1,Renewals,100,0,100,17/07/1946,69,0,4,1
North Ryde,NSW,1671,1,Renewals,255,0,255,na,,0,4,1
CASTLE HILL,NSW,1675,1,Renewals,70,0,70,22/01/1937,78,0,4,0
GLADESVILLE,NSW,1675,1,Renewals,49,0,49,29/10/1929,86,1,4,0
RYDE,NSW,1680,1,Renewals,50,0,50,na,,0,4,0
EPPING,NSW,1710,1,Acq,125,0,125,na,,0,4,1
BAULKHAM HILLS,NSW,1755,1,Renewals,268,0,268,8/09/1950,65,0,4,1
Baulkham Hills,NSW,1755,1,Acq,116,0,116,4/11/1938,77,0,4,1
BAULKHAM HILLS,NSW,1755,1,Renewals,95,0,95,na,,1,4,1
CASTLE HILL,NSW,1765,10,Acq,74,0,74,na,,0,4,0
CASTLE HILL,NSW,1765,1,Renewals,50,0,50,na,,0,4,0
St Marys,NSW,1790,9,Acq,149,0,149,1/01/1951,64,1,4,1
BURWOOD,NSW,1805,9,Acq,30,0,30,na,,1,4,0
Guildford,NSW,1848,1,Renewals,43,0,43,15/06/1984,31,1,4,0
Sydney,NSW,2000,1,Acq,1031.5,0,1031.5,18/02/1961,54,0,4,1
MILLERS POINT,NSW,2000,9,Acq,0,150,150,na,,1,4,1
Sydney,NSW,2000,1,Acq,100,0,100,na,,0,4,1
SYDNEY,NSW,2000,1,Acq,85,0,85,21/02/1935,80,1,4,1
Ultimo,NSW,2007,1,Acq,192,0,192,1/01/1949,66,0,4,1
ULTIMO,NSW,2007,1,Acq,92,0,92,na,,0,4,1
Ultimo,NSW,2007,1,Acq,17,0,17,na,,1,4,0
Darlington,NSW,2008,9,Acq,88,0,88,na,,0,4,1
Darlington,NSW,2008,1,Acq,60,0,60,10/11/1970,45,1,4,0
CHIPPENDALE,NSW,2008,1,Renewals,46,0,46,na,,1,4,0
Pyrmont,NSW,2009,1,Acq,181.75,0,181.75,na,,1,4,1
Pyrmont,NSW,2009,9,Acq,160,0,160,na,,1,4,1
Pyrmont,NSW,2009,1,Acq,104,0,104,na,,0,4,1
Pyrmont,NSW,2009,1,Acq,39,0,39,na,,1,4,0
Darlinghurst,NSW,2010,9,Acq,127,0,127,1/01/1969,46,1,4,1
Surry Hills,NSW,2010,1,Acq,110.75,0,110.75,na,,0,4,1
Darlinghurst,NSW,2010,1,Renewals,110,0,110,na,,1,4,1
Surry Hills,NSW,2010,1,Acq,0,100,100,na,,0,4,1
Surry Hills,NSW,2010,1,Acq,100,0,100,1/05/1965,50,0,4,1
DARLINGHURST,NSW,2010,1,Acq,25,50,75,25/06/1958,57,0,4,0
Darlinghurst,NSW,2010,1,Acq,52.5,0,52.5,na,,0,4,0
SURRY HILLS,NSW,2010,1,Renewals,40,0,40,na,,1,4,0
Surry Hills,NSW,2010,1,Acq,25,0,25,1/05/1979,36,1,4,0
Surry Hills,NSW,2010,1,Acq,0,20,20,na,,0,4,0
Surry Hills,NSW,2010,1,Acq,15,0,15,na,,0,4,0
Potts Point,NSW,2011,1,Acq,150,0,150,na,,1,4,1
Woolloomooloo,NSW,2011,1,Renewals,95,0,95,10/02/1955,60,1,4,1
Elizabeth Bay,NSW,2011,9,Acq,78,0,78,na,,1,4,1
Potts Point,NSW,2011,1,Acq,75,0,75,na,,0,4,0
Alexandria,NSW,2015,1,Renewals,263,0,263,29/07/1953,62,1,4,1
Alexandria,NSW,2015,1,Acq,172,0,172,1/01/1939,76,0,4,1
Alexandria,NSW,2015,1,Acq,154,0,154,na,,1,4,1
Alexandria,NSW,2015,1,Acq,85.35,0,85.35,na,,1,4,1
Alexandria,NSW,2015,1,Renewals,80,0,80,na,,1,4,1
Beaconsfield,NSW,2015,1,Acq,50,0,50,22/04/1951,64,1,4,0
REDFERN,NSW,2016,1,Renewals,149.35,0,149.35,na,,1,4,1
Redfern,NSW,2016,9,Acq,93.4,0,93.4,na,,0,4,1
Redfern,NSW,2016,1,Renewals,75,0,75,na,,1,4,0
Redfern,NSW,2016,9,Acq,66,0,66,na,,1,4,0
Redfern,NSW,2016,1,Renewals,45,0,45,10/01/1943,72,1,4,0
Redfern,NSW,2016,9,Acq,34.5,0,34.5,24/03/1944,71,1,4,0
ZETLAND,NSW,2017,2,Renewals,304,0,304,20/10/1944,71,1,4,1
Waterloo,NSW,2017,9,Acq,150,0,150,1/01/1946,69,1,4,1
Zetland,NSW,2017,1,Renewals,62,0,62,13/11/1987,28,0,4,0
WATERLOO,NSW,2017,9,Acq,50,0,50,15/05/1980,35,1,4,0
WATERLOO,NSW,2017,9,Acq,31.1,0,31.1,6/01/1961,54,0,4,0
Waterloo,NSW,2017,9,Acq,30,0,30,1/01/1934,81,1,4,0
ROSEBERY,NSW,2018,1,Renewals,159,0,159,na,,0,4,1
ROSEBERY,NSW,2018,1,Renewals,124,0,124,28/10/1946,69,1,4,1
Rosebery,NSW,2018,1,Acq,85,0,85,2/08/1954,61,0,4,1
Eastlakes,NSW,2018,9,Acq,74,0,74,na,,1,4,0
Eastlakes,NSW,2018,1,Acq,51,0,51,30/03/1955,60,1,4,0
Eastlakes,NSW,2018,1,Acq,22,28,50,na,,1,4,0
Eastlakes,NSW,2018,1,Renewals,50,0,50,23/12/1939,76,1,4,0
Rosebery,NSW,2018,1,Acq,27,0,27,1/03/1920,95,1,4,0
Eastlakes,NSW,2018,1,Renewals,25,0,25,na,,0,4,0
EASTLAKES,NSW,2018,9,Acq,0,20,20,1/01/1947,68,0,4,0
Rosebery,NSW,2018,1,Acq,20,0,20,na,,1,4,0
Rosebery,NSW,2018,1,Acq,20,0,20,na,,1,4,0
Botany,NSW,2019,1,Acq,268,0,268,na,,0,4,1
BOTANY,NSW,2019,1,Acq,108,0,108,na,,0,4,1
Botany,NSW,2019,1,Acq,100,0,100,na,,1,4,1
Botany,NSW,2019,1,Renewals,57.5,0,57.5,19/07/1958,57,1,4,0
BOTANY,NSW,2019,1,Renewals,55,0,55,6/04/1972,43,1,4,0
Mascot,NSW,2020,1,Acq,192,0,192,6/11/1966,49,1,4,1
MASCOT,NSW,2020,1,Renewals,125,0,125,na,,1,4,1
Mascot,NSW,2020,1,Renewals,108.75,0,108.75,na,,0,4,1
MASCOT,NSW,2020,9,Acq,0,100,100,23/11/1955,60,1,4,1
Mascot,NSW,2020,9,Acq,89,0,89,30/11/1961,54,0,4,1
Mascot,NSW,2020,1,Renewals,86,0,86,25/03/1957,58,0,4,1
MASCOT,NSW,2020,1,Renewals,69,0,69,na,,1,4,0
Mascot,NSW,2020,9,Acq,60,0,60,10/05/1945,70,1,4,0
Mascot,NSW,2020,1,Acq,50,0,50,na,,0,4,0
Mascot,NSW,2020,1,Acq,49,0,49,na,,1,4,0
Mascot,NSW,2020,1,Acq,0,41.75,41.75,na,,0,4,0
MASCOT,NSW,2020,9,Acq,20,0,20,na,,0,4,0
Mascot,NSW,2020,1,Acq,12,0,12,5/06/1974,41,1,4,0
Centennial Park,NSW,2021,1,Acq,390,0,390,27/08/1946,69,0,4,1
PADDINGTON,NSW,2021,1,Renewals,260,100,360,na,,1,4,1
PADDINGTON,NSW,2021,1,Renewals,260,0,260,20/04/1954,61,1,4,1
Paddington,NSW,2021,1,Renewals,250,0,250,na,,0,4,1
Paddington,NSW,2021,1,Renewals,225,0,225,15/04/1959,56,1,4,1
Paddington,NSW,2021,9,Acq,215,0,215,na,,0,4,1
Paddington,NSW,2021,1,Acq,97,103,200,na,,1,4,1
Paddington,NSW,2021,9,Acq,0,200,200,na,,1,4,1
Paddington,NSW,2021,9,Acq,170,0,170,na,,0,4,1
Paddington,NSW,2021,1,Acq,150.3,0,150.3,na,,1,4,1
Paddington,NSW,2021,1,Renewals,140,0,140,25/05/1949,66,1,4,1
Centennial Park,NSW,2021,1,Acq,130,0,130,17/04/1955,60,0,4,1
PADDINGTON,NSW,2021,1,Renewals,125,0,125,na,,0,4,1
Paddington,NSW,2021,1,Acq,120,0,120,na,,0,4,1
PADDINGTON,NSW,2021,1,Renewals,119,0,119,na,,1,4,1
PADDINGTON,NSW,2021,1,Renewals,110,0,110,na,,1,4,1
Paddington,NSW,2021,1,Acq,100,0,100,1/10/1946,69,1,4,1
PADDINGTON,NSW,2021,1,Renewals,85,0,85,5/02/1945,70,1,4,1
Paddington,NSW,2021,9,Acq,80,0,80,na,,1,4,1
Centennial Park,NSW,2021,1,Renewals,65,0,65,1/01/1951,64,1,4,0
Paddington,NSW,2021,1,Renewals,61,0,61,10/10/1949,66,1,4,0
PADDINGTON,NSW,2021,9,Acq,0,50,50,na,,1,4,0
Paddington,NSW,2021,1,Acq,0,50,50,19/02/1999,16,1,4,0
Paddington,NSW,2021,1,Renewals,35,5,40,na,,1,4,0
Paddington,NSW,2021,1,Acq,0,20,20,12/10/1952,63,1,4,0
Queens Park,NSW,2022,1,Acq,385,0,385,na,,1,4,1
Bondi Junction,NSW,2022,1,Renewals,192.3,0,192.3,3/10/1938,77,1,4,1
Bondi Junction,NSW,2022,1,Acq,156,0,156,9/11/1946,69,0,4,1
Queens Park,NSW,2022,1,Acq,150,0,150,na,,1,4,1
Queens Park,NSW,2022,9,Acq,116,0,116,na,,1,4,1
BONDI JUNCTION,NSW,2022,9,Acq,102,10,112,21/09/1943,72,1,4,1
Bondi Junction,NSW,2022,1,Renewals,110,0,110,23/09/1942,73,1,4,1
Bondi Junction,NSW,2022,1,Acq,100,0,100,1/03/1933,82,1,4,1
QUEENS PARK,NSW,2022,1,Renewals,95.1,0,95.1,27/09/1967,48,0,4,1
BONDI JUNCTION,NSW,2022,9,Acq,95,0,95,na,,1,4,1
Bondi Junction,NSW,2022,1,Acq,82.5,0,82.5,19/09/1944,71,1,4,1
Bondi Junction,NSW,2022,1,Acq,16,50,66,11/01/1932,83,0,4,0
BONDI JUNCTION,NSW,2022,1,Acq,32,0,32,na,,1,4,0
Bondi Junction,NSW,2022,1,Acq,0,10,10,na,,1,4,0
Bellevue Hill,NSW,2023,1,Acq,0,1000,1000,na,,1,4,1
Bellevue Hill,NSW,2023,1,Renewals,290,0,290,2/05/1954,61,1,4,1
BELLEVUE HILL,NSW,2023,9,Acq,244,16,260,na,,0,4,1
BELLEVUE HILL,NSW,2023,1,Renewals,200,0,200,na,,1,4,1
BELLEVUE HILL,NSW,2023,1,Renewals,190,0,190,na,,0,4,1
Bellevue Hill,NSW,2023,9,Acq,165,0,165,na,,0,4,1
Bellevue Hill,NSW,2023,1,Renewals,150,0,150,na,,0,4,1
BELLEVUE HILL,NSW,2023,9,Acq,100,0,100,na,,1,4,1
Bellevue Hill,NSW,2023,1,Acq,40,60,100,na,,1,4,1
Bellevue Hill,NSW,2023,1,Acq,100,0,100,na,,1,4,1
Bellevue Hill,NSW,2023,1,Renewals,100,0,100,na,,1,4,1
BELLEVUE HILL,NSW,2023,9,Acq,65,0,65,1/01/1940,75,1,4,0
Bellevue Hill,NSW,2023,1,Acq,50,0,50,na,,1,4,0
Bellevue Hill,NSW,2023,1,Acq,0,50,50,na,,1,4,0
Bellevue Hill,NSW,2023,1,Acq,32,0,32,5/05/1964,51,1,4,0
Waverley,NSW,2024,9,Acq,200,0,200,12/09/1962,53,1,4,1
Bronte,NSW,2024,2,Acq,175,0,175,na,,0,4,1
Bronte,NSW,2024,1,Acq,20,80,100,na,,0,4,1
Bronte,NSW,2024,1,Acq,100,0,100,18/03/1959,56,1,4,1
Bronte,NSW,2024,9,Acq,92,8,100,na,,1,4,1
Bronte,NSW,2024,1,Acq,80,0,80,9/04/1942,73,1,4,1
Bronte,NSW,2024,1,Acq,58,0,58,9/01/1959,56,0,4,0
Bronte,NSW,2024,9,Acq,51,0,51,na,,1,4,0
Waverley,NSW,2024,9,Acq,50,0,50,na,,0,4,0
BRONTE,NSW,2024,9,Acq,0,50,50,na,,1,4,0
Bronte,NSW,2024,9,Acq,40,0,40,31/07/1987,28,0,4,0
Bronte,NSW,2024,9,Acq,20,0,20,na,,1,4,0
Waverley,NSW,2024,1,Renewals,20,0,20,na,,1,4,0
WOOLLAHRA,NSW,2025,1,Renewals,450,0,450,23/06/1931,84,0,4,1
Woollahra,NSW,2025,1,Acq,400,0,400,25/12/1928,87,0,4,1
WOOLLAHRA,NSW,2025,1,Renewals,245,0,245,16/12/1955,60,0,4,1
Woollahra,NSW,2025,9,Acq,121.2,0,121.2,na,,1,4,1
Woollahra,NSW,2025,1,Acq,100,0,100,na,,0,4,1
Woollahra,NSW,2025,9,Acq,100,0,100,na,,0,4,1
